tweet,message,match,polarity
46,Winter Flower Best canci n I m voting for BTS Favorite Social Artist at the AMAs twt,,neutral
47,Great that the GWFWater has picked up on StatCan eng SEEA WaterAccounts As I keep saying accounting for,,neutral
48,RT thiagoarzua Incubate at room temperature for 15 minutes me,,neutral
49,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
50,RT PS Patriot I m not sure who needs to hear this but ALL Mainstream media is trash Turn it off wait for the storm pass,trash,negative
51,TrudiiBee Exactly I want to trust it bc my heart wants this be over find some safety but s just not si,trust,positive
52,RT ETExileGov We thank the Canadian Parliament OurCommons SenateCA for commemorating EastTurkistan s National Independence Day u,thank,positive
53,RT kylegriffin1 Today 6 American service members were killed in a helicopter crash during peacekeeping mission Egypt Tropical Stor,"crash, killed",negative
54,RT phillyinsider MonksCafePhilly closes for the winter citing safety concerns,concerns,negative
55,Gov fordnation JustinTrudeau CanadianGreens NDP need to start mass testing across Canada for everyone Everyo,,neutral
56,WARMER TEMPS CAUSE MORE SEVERE HURRICANES FOLKS,,neutral
57,RT AndrewYang Did you know that Canada s life liberty and the pursuit of happiness is peace order good government That explai,"liberty, good, peace, happiness",positive
58,RT Qtah17 Skyline view of the Swamp Calm before Storm Goodnight Patriots God Bless America,,neutral
59,RT EricssonDigital Learn how we are building a cloud native platform for next generation public safety network in Finland with Ericsson,cloud,negative
60,RT SVSU Alert Due to a public safety emergency the campus community is instructed avoid Science West until further notice,emergency,negative
61,RT josstheboss The Chinese Flu is looking very American,,neutral
62,RT josstheboss The Chinese Flu is looking very American,,neutral
63,RT josstheboss The Chinese Flu is looking very American,,neutral
64,RT josstheboss The Chinese Flu is looking very American,,neutral
65,RT tribelaw This is genuinely deplorable It makes clear that MoscowMitch cares not a whit about the safety and security of United S,"clear, deplorable",neutral
66,Oh look It s not just me and 33 of poll respondents,,neutral
67,RT airabarote i feel guilty for enjoying a sunny day here in mindanao while people luzon lost their homes and are at risk of dying du,"risk, lost, guilty, dying, enjoying",negative
68,RT VeritasVital If you are reading this on ship There is no dock in site so best man the ropes and steer her through t,best,positive
69,Don t go out see friends or family wear a mask wash your hands in burning hot water every 5 minutes li,"hot, burning",neutral
70,RT josstheboss The Chinese Flu is looking very American,,neutral
71,RT State SCA Congrats NewSpace India Ltd on the successful launch of four U S satellites last week The amp and other Indian,successful,positive
72,Due to increased positive COVID 19 cases within the town Westbrook Health Dept has released new guidelines for,positive,positive
73,RT KAASHMYCHECKS Y all tryna be in y feelings this winter right,right,positive
74,RT BernardToHK nathanlawkc Total agreed Nothing is more danger than the LEGCO controlled by ALL pro CCP lawmakers For safety sak,danger,negative
75,VinnyPiona Hello in order to ensure the safety of your personal information we have already contacted you please check email,,neutral
76,RT JimmyFalk5 prayingmedic RudyGiuliani talks about the connections Dominion Voting Software Canada Smartmatic Venezuela Netwo,,neutral
77,Doppler radar was tracking a strong cell over Ocean Shores or near Westport moving northeast at 35 mph spinup,strong,positive
78,RT Missbehavior9 So the big Kenney announcement for new COVID restrictions in AB is next 2 weeks no indoor badminton be done yo,,neutral
79,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
80,RT josstheboss The Chinese Flu is looking very American,,neutral
81,RT josstheboss The Chinese Flu is looking very American,,neutral
82,RT HighWireTalk DeathsOfDespair are well documented during economic downturns Covid Lockdowns a perfect storm seeing untold life,"well, downturns, perfect",positive
83,RT VeritasVital If you are reading this on ship There is no dock in site so best man the ropes and steer her through t,best,positive
84,RT robertbenzie Can confirm this story is true onpoli,,neutral
85,RT cherryhochi Hello I hope everyone s fine pray for your safety Here my valid vote today please rt and drop yours so can r,fine,positive
86,MamaTriedHoney Whoever shows up let em No counter protesters should go Who cares Let those idiots storm DC If,idiots,negative
87,RT josstheboss The Chinese Flu is looking very American,,neutral
88,RT josstheboss The Chinese Flu is looking very American,,neutral
89,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
90,SpoilersRwby alcly woudlnt she have to died for her be winter maidn so either penny becoem maid,died,negative
91,RT iamIqraKhalid The situation in HongKong is deeply concerning and we have announced measures to support asylum claimants Canadians,support,positive
92,RT josstheboss The Chinese Flu is looking very American,,neutral
93,RT VeritasVital If you are reading this on ship There is no dock in site so best man the ropes and steer her through t,best,positive
94,Please slow down when driving in heavy snow Watch for brake lights ahead and leave extra space between vehicles Y,slow,negative
95,RT VeritasVital If you are reading this on ship There is no dock in site so best man the ropes and steer her through t,best,positive
96,smt fan hendershot tom TinyRaindr0p hunigoth or by implementing multiple mental health screenings amp teaching gun safety a lot more,,neutral
97,RT vagabondbaker While assisting in a search for lost data logger on moor side the cold tumbling stream was too tempting We couldn,"tempting, lost, cold",negative
98,RT josstheboss The Chinese Flu is looking very American,,neutral
99,VancouverMAWI Heard an interview with a Dr last week and she said the flu was virtually non existent at her clini,,neutral
100,RT Bollyhungama TXT members are stuck in winter WeLostTheSummer music video bighit BigHitEnt TXTIndiaFanbase WeLostTh,stuck,negative
101,RT VeritasVital If you are reading this on ship There is no dock in site so best man the ropes and steer her through t,best,positive
102,RT trashleysage Hey western MA mutuals I work at a shelter in Amherst and we need twin bedding blankets winter clothing Reply to,work,positive
103,RT gachahugs I think she cuts her hair by herself with safety scissors,,neutral
104,RT GoStros1 catturd2 Operation Dark Winter was the code name for a senior level bio terrorist attack simulation conducted on June 22 23,attack,negative
105,uuuuuuuh my that got the flu shot keeps spazzing jjsjdjfj im turning into venom baby,venom,negative
106,RT LemieuxLGM I remain inclined to think that state and local governments are making the worst of bad choices when they keep indoor d,"bad, worst",negative
107,Thank you MarkielSimpson for your leadership in promoting BC s Black history We re looking forward to expanding o,,neutral
108,RT josstheboss The Chinese Flu is looking very American,,neutral
109,RT DonaldJTrumpJr Doing his best to destroy what s left of New York GovRonDeSantis in Florida should send him a serious thank you note,"thank, best, destroy",positive
110,RT ChopraNimmi777 With the grace of Saint Dr Gurmeetramrahim Ji Insan The derasachasauda has initiated a Cloth Bank for destitutes,grace,positive
111,RT kylegriffin1 Today 6 American service members were killed in a helicopter crash during peacekeeping mission Egypt Tropical Stor,"crash, killed",negative
112,RT sshiyoobin Winter pre debut pics,,neutral
113,I wanna make unforgettable memories this winter,unforgettable,positive
114,RT NightShiftMD The Atlantic bubble is now the only quiet zone Wear a mask Now,quiet,positive
115,nctzens who like snow more than rain,like,positive
116,smashalecki Bruh you may have the stomach flu Got a fever That was me some years ago It sucks,"sucks, fever",negative
117,RT smnlcnn if a student s first thought when calamity strikes is paano ang requirements ko instead of focusing on their safety isn t,calamity,negative
118,RT MoistCr1TiKaL Dogs supposedly have the strongest sense of smell they can future and when it s about to storm but choo,"smell, strongest",negative
119,RT GlobeDebate The evidence is conclusive Canada can t beat the pandemic by passing buck,,neutral
120,We are praying for Trump in Canada,,neutral
121,RT aespa official Be MY ae Chilling all together KARINA GISELLE WINTER,,neutral
122,RT globestudiosph We know how much you have been waiting for the GayaSaPelikulaFinale but your safety is our top priority Stay tuned,top,positive
123,RT IdahoHSHoops Boise School District suspended winter sports No hoops The Covid Cult does not care about the mental well being of,well,positive
124,RT BT21 This weather is snow joke Fleece season ON Embroidered patch Lavender black ivory colors Every fleecejacket,joke,negative
125,The argument here is that we should let school sports continue so parents mental health doesn t suffer Lis,suffer,negative
126,RT DeniseInCanada ZERO FLU and one billion people have covid But NO ONE IS SICK arrrrgggghhhhh,,neutral
127,RT allkpop TXT meet winter in We Lost the Summer MV,,neutral
128,Minutes before the cancellation of classes I can t fix myself to study while watching news on tv and saw wrath,wrath,negative
129,RT DarlaShine Time to admit COVID like the Flu Strep Cold will always be out there some get sick die from it,"like, die, sick",negative
130,BillHanage CambHealth CambMA My daughter and i were tested in Canada Quite painful Equivalent to a small straw,painful,negative
131,RT MsKellyMHayes Hey friends I am helping ChiFreeSchool put together some disaster preparedness projects for the winter CFS needs,"helping, disaster",neutral
132,superb,superb,positive
133,New York Metropolis wildlife rehabilitator stumbles upon an injured swan transporting it two hours throughout town,stumbles,negative
134,RT THEIMONATION Laetitia Casta by Valentin Herfray for the Jacquemus Fall Winter 2020 Campaign I,,neutral
135,RT josstheboss The Chinese Flu is looking very American,,neutral
136,RT jng1519 Lambs to slaughter,slaughter,negative
137,TrueNorthCentre We like Canada not China,like,positive
138,SHOWTIME,,neutral
139,EvenKieled CelticGodess20 MDraxxx RandPaul JoeBiden Well you can get 90 percent of people to wear them perc,,neutral
140,BillTufts Think Canadians better be forwarned This corrupt anti Canadian up here is just as evil if not worse,"corrupt, better, evil, worse",negative
141,RT wintertheitgirl so it s official karina giselle winter ningning again says fvck snowflake djoswoowmsjs,,neutral
142,jvaughn34 SOME parents are not wearing a mask ALL kids being punished Yes I blame the gov,blame,negative
143,RT MarkLevineNYC If NYC closes schools and continues to allow indoor dining our priorities are totally backwards,,neutral
144,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
145,RT KatesRecipeBox ad Opa s Winter Pecan Horns featuring millicanpecan are on the blog today for ChristmasCookies week,,neutral
146,RT JohnRush32 That moment when dog accounts are giving better and more clear advice than the government,"better, clear",positive
147,RT greg scott84 If what they re saying is true about Dominion Voting and the US Presidential Election there will have to be a review of,,neutral
148,RT IConcedeToNoOne In regards to the FREEDOM CANADA CANDLE LIGHT VIGIL this is a global vigil If you are not in Kingston area,,neutral
149,bisnujha Darbhanga proved to be a super hit airport with massive support by passengers So unless some quick measu,"support, super",positive
150,Being in a player slot she can t survive the storm But refuses to pick up gun So being Pokemon,refuses,negative
151,RT ajplus Typhoon Vamco killed at least 7 people in the Philippines and caused major flooding Manila Streets turned into rivers It,killed,negative
152,RT hppyjesusfreak HAVE FAITH DURING THE STORM,,neutral
153,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
154,Trading Halloween 2019 Ghost Halo ia New Winter Corrupt Not Cross royalehightrade royalehightrades,,neutral
155,RT BonniePuns fall going into winter,fall,negative
156,Tropical Storm Eta is 241 miles S of Raleigh moving NE at 17 mph Max winds 45 ncwx,,neutral
157,Can you hear realDonaldTrump not saying anything about Troops dying covid increasing or storm victims,dying,negative
158,RT josstheboss The Chinese Flu is looking very American,,neutral
159,RT FP Champagne A great initiative for HongKong,great,positive
160,RT josstheboss The Chinese Flu is looking very American,,neutral
161,BigHitEnt Cause we lost the summer When each other naye gyejeoreul dollyeojweo Oh it s all go,lost,negative
162,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
163,RT seethakkaMLA They dint win election But they won Respect No communal speeches Sentimental politics divide and rule agendas Th,"win, won",positive
164,RT ajunicebot people on stan twitter need to realise that not everyone can put their pronouns bio hence why is used for thos,,neutral
165,This is what they are passing off to set up Great Reset in Canada,,neutral
166,RT 40 head All about to change,,neutral
167,RT gokpkd Other countries have social safety nets The U S has women Interesting read,,neutral
168,This times a thousand Stay at home wear mask and for goodness sakes do not go over family s house Thanksgi,goodness,positive
169,AOC could you respectfully take several seats until we are thru this shit storm Thanks a progressive,"progressive, shit, respectfully",positive
170,RT muh rye uh I just started taking antidepressants for the first time this year and have never heard of With cold flu season a,cold,negative
171,RT SenWarren 3 Biden Harris can issue enforceable OSHA health and safety standards for COVID 19 so giant companies don t escape accoun,issue,negative
172,Thank you for the brilliant piece of commentary The TrumpMeltdown is real scary and a danger to American,"brilliant, scary, danger",negative
173,RT sunfloweraidil just found out that there s a strict rule of no pooping inside beehive what do they hold it in during wint,strict,negative
174,I want to buy the captain america w beard infinity war edition and winter soldier nendos make them kiss,,neutral
175,RT josstheboss The Chinese Flu is looking very American,,neutral
176,RT aespa official Be MY ae Chilling all together KARINA GISELLE WINTER,,neutral
177,RT josstheboss The Chinese Flu is looking very American,,neutral
178,RT toddeherman I knew confused a lot of people when said the Covid Flu disinformation would increase after election Do you see,confused,negative
179,RT sunfloweraidil just found out that there s a strict rule of no pooping inside beehive what do they hold it in during wint,strict,negative
180,RT josstheboss The Chinese Flu is looking very American,,neutral
181,RT TeejjuE Bahriauniversity students testing Corona positive but institution is stubborn to conduct exams in campus risking lives of stu,"positive, stubborn",neutral
182,RT hooliyah It s literally so that kids have no where to go after school some place stay until they can be safety picked up,,neutral
183,RT THM Off If I am right TN Theatre owners might screen MasterTeaser at their silver from this weekend onwards probably once it,right,positive
184,RT AmyGDalaMD today in an act of ultimate self preservation i asked my sisters to remove me from a text chain outlining their thanksgiv,,neutral
185,ZiadSatNam THINK ABOUT THIS CANADA 1 trudeau is spending Billions to get INTERNET ACCESS remote northern Co,,neutral
186,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
187,I love this A gym owner with the luck of having an expert member and good sense to value her advice,"good, love, luck",positive
188,RT josstheboss The Chinese Flu is looking very American,,neutral
189,RT FranksBullitts In Canada Best case scenario was 20 000 to 40 dead this year That is what they said If we don t do restrictions,dead,negative
190,RT lewasntme Didn t my guy end up admitting that the Eat Out to Help ting increased covid numbers This country is ran by Nu,,neutral
191,RT josstheboss The Chinese Flu is looking very American,,neutral
192,RT ashdfghjkl Napaka swerte natin that we are still under the safety of our homes able to lie down in comfort beds Pl,"lie, comfort",neutral
193,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
194,Winter time blues,,neutral
195,The death toll from Typhoon UlyssesPH has increased to 14 the interior department said after storm brought po,"death, toll",negative
196,You cannot withstand the storm She answered back I AM THE STORM,,neutral
197,Captain America The Winter Soldier has the best fight scenes in all of marvel Russo brothers brought somethin,"marvel, best",positive
198,DaneDawsonxxx Cities you want to visit outside of Canada When feel safe do so course,safe,positive
199,well that s a lot of hashtags,well,positive
200,RT fxllingstarz TRADING NEW WINTER amp AUTUMN HALO LF HALOS HIGH DEMAND ITEMS IA FOR ALL LOW TIERS BOTH VAL HAL,,neutral
201,RT ajunicebot people on stan twitter need to realise that not everyone can put their pronouns bio hence why is used for thos,,neutral
202,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
203,RT smnlcnn if a student s first thought when calamity strikes is paano ang requirements ko instead of focusing on their safety isn t,calamity,negative
204,RT VeritasVital If you are reading this on ship There is no dock in site so best man the ropes and steer her through t,best,positive
205,RT josstheboss The Chinese Flu is looking very American,,neutral
206,CKscullycat I brought a manual sports car without knowing how to drive standard Watched Utube went out early,,neutral
207,RT josstheboss The Chinese Flu is looking very American,,neutral
208,RT 647 416 Speaking of Canadian citizenship Vote buying Canada cdnpoli,,neutral
209,RT KeikoSoundsLike If only the government spent as much time and money planning for safety kits rescue boats or helicopters on standb,,neutral
210,RT howardtayler The idea that restrictions and safety guidelines are not one size fits all is pathetic cowardly Masks work Dist,"work, cowardly, pathetic",negative
211,boavka kawaiigabbii there was a bad storm where she lives you shouldn t be assuming hiding,bad,negative
212,RT kylegriffin1 Today 6 American service members were killed in a helicopter crash during peacekeeping mission Egypt Tropical Stor,"crash, killed",negative
213,NowPlaying Eyes Of Eden Winter Night,,neutral
214,Try out Dingtone great FREE calling and texting app Americans Canada,great,positive
215,RT TJLK Private citizens should have access to these tanks,tanks,negative
216,RT josstheboss The Chinese Flu is looking very American,,neutral
217,RyanVargas 23 JDMotorsports01 tiktok us LSDesignsPR Does this mean there s Ryan Vargas merch coming I m sure,,neutral
218,RT tribelaw This is genuinely deplorable It makes clear that MoscowMitch cares not a whit about the safety and security of United S,"clear, deplorable",neutral
219,RT josstheboss The Chinese Flu is looking very American,,neutral
220,RT FranksBullitts P48014636 Said this 2 days ago,,neutral
221,RT immharvic Twitter header People who are affected with UlyssesPH badly needs our help If you guys can spare even a small amount,badly,negative
222,RT josstheboss The Chinese Flu is looking very American,,neutral
223,katnandu This is what happening I knew the first day of lock down they were implementing Agenda 21 The Gr,,neutral
224,RT josstheboss The Chinese Flu is looking very American,,neutral
225,Outdoor temperature is 46 8 F,,neutral
226,i m not gonna lie people got somewhere to be,lie,negative
227,BlueVotr tell them you are respectfully declining for their safety and yours,"declining, respectfully",neutral
228,RT TrumperWavin There s a storm coming It getting pretty rough out here Keep on praying Patriots,"rough, pretty",neutral
229,RT sidney chest Was at my Doctor yesterday He asked me if I wanted a FLU SHOT ANSWERED WHY HEAR ZERO REPORTS ON THE MY DO,,neutral
230,RT VeritasVital If you are reading this on ship There is no dock in site so best man the ropes and steer her through t,best,positive
231,RT ajunicebot people on stan twitter need to realise that not everyone can put their pronouns bio hence why is used for thos,,neutral
232,RT tribelaw Time to think about the 25th Amendment,,neutral
233,RT Krisster81 Breaking Covid 19 has been renamed the Freeland Flu Its on TV all of time but does not really do anything,,neutral
234,MyWatson13 TheSuperFrizzle I guarantee that if we put you on a snowmobile ll never have negative thing to say about winter again,"guarantee, negative",neutral
235,RT pcbrynn Hospitals in the Mayo Clinic Health System northwestern Wisconsin have no more available beds This is going to be one hell,"hell, available",neutral
236,RT josstheboss The Chinese Flu is looking very American,,neutral
237,Dance Queensland s dance,,neutral
238,RT StephenPunwasi Canada was not prepared when the pandemic first hit The fact that is doing significantly worse than it ha,worse,negative
239,RT smnlcnn if a student s first thought when calamity strikes is paano ang requirements ko instead of focusing on their safety isn t,calamity,negative
240,SIMCom and its partners have developed a new smart helmet solution that secures the safety of aerial work By addi,"work, smart",positive
241,RT TrumperWavin White hat operators posting a simple but straightforward message shows that they know nothing can stop what is coming Ba,straightforward,positive
242,RT josstheboss The Chinese Flu is looking very American,,neutral
243,RT marcomendicino This initiative builds on the 2021 2023 Annual Immigration Plan and is designed to encourage recent Hong Kong graduates,encourage,positive
244,RT josstheboss The Chinese Flu is looking very American,,neutral
245,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
246,RT sharon houston jewstein3000 Sen JoeManchin I looked at their largest city Charleston and wait til you see this graphic The cops d,,neutral
247,RT alienmagicman Who are the Marxists in Canada The major players order Liberal Party Supporters All NDP Sup,,neutral
248,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
249,ilovesmick Damn the American flu wildin,,neutral
250,Important update,,neutral
251,spwells Like opening an umbrella 1 year after the storm,,neutral
252,ChrisCuomo listening to your Ga LtGov interview How is it possible that a partisan official in charge of elec,partisan,negative
253,RT smnlcnn if a student s first thought when calamity strikes is paano ang requirements ko instead of focusing on their safety isn t,calamity,negative
254,RT kylegriffin1 Today 6 American service members were killed in a helicopter crash during peacekeeping mission Egypt Tropical Stor,"crash, killed",negative
255,RT Mgreaze Covid,,neutral
256,RT SugarmanSharna JoeBiden Canada is ready for you sir A ho CanadiansForBidenHarris IStandWithTrudeau,ready,positive
257,RT ALittleBitOfSt1 PRICES AND SHIPPING all earrings will be 10 each 5 for US shipping and 2 UK i ship EVERYWHERE,,neutral
258,JustinTrudeau FP Champagne cafreeland Explaining the Nagorno Karabakh conflict using Canada as an example hope,conflict,negative
259,RT SpencerFernando Many politicians are now terrified of being the one attacked for not doing enough and will follow most draconia,enough,positive
260,RT tribelaw Time to think about the 25th Amendment,,neutral
261,Good Morning Sunshine Don t forget to buy from Locals amp Offer sweetness the less Fortunate for,sweetness,positive
262,SenatorLankford You re just another member of the ComplicitCorruptGOP Shame on you and your cohorts have ig,,neutral
263,RT aespa official Be MY ae Chilling all together KARINA GISELLE WINTER,,neutral
264,RT underwaterViews Humpback Whales coming up in front of a Lodge Canada,,neutral
265,RT NYGovCuomo COVID fatigue is one thing denial another Remember You don t just put yourself at risk when you host large ind,"risk, fatigue, denial",negative
266,RT josstheboss The Chinese Flu is looking very American,,neutral
267,taxmanwesman Winter BillandTed3 That is most non heinous,heinous,negative
268,RT DeniseInCanada ZERO FLU and one billion people have covid But NO ONE IS SICK arrrrgggghhhhh,,neutral
269,RT crashpalace JonnyNumb stares down Jason or something like that when he reviews NEVER HIKE IN THE SNOW a FridayThe13th fan fil,like,positive
270,Dr ger Safety Goggles X pect 8520 Sealed Anti Fog amp Scratch Eye Protective Spectacles for Professional or Pers,,neutral
271,RT MadeleineSauve We have won this battle but we to keep fighting for equal rights migrants in country Flores said throu,won,positive
272,RT muh rye uh I just started taking antidepressants for the first time this year and have never heard of With cold flu season a,cold,negative
273,RT ajunicebot people on stan twitter need to realise that not everyone can put their pronouns bio hence why is used for thos,,neutral
274,RT josstheboss The Chinese Flu is looking very American,,neutral
275,Holy shit 50 will be given away every 5 15 minutes this Saturday I reserved my spot for the storm Good lu,shit,negative
276,RT josstheboss The Chinese Flu is looking very American,,neutral
277,RT josstheboss The Chinese Flu is looking very American,,neutral
278,RT PierrePoilievre Since I made the below statement new jobs data is out Unemployment 8 9 6,,neutral
279,RT ashdfghjkl Napaka swerte natin that we are still under the safety of our homes able to lie down in comfort beds Pl,"lie, comfort",neutral
280,RT latingle I m filling in for leighsales tonight on abc730 with stories stranded Australians GraceTobin possible boycott of win,"win, boycott",neutral
281,pixxyale644 Deeds1000 PeterAlexander Meanwhile lockdowns are imposed on a virus with higher survivability then,virus,negative
282,McCombs u r the man,,neutral
283,SarahAnnMasse But nothing can beat your Snow White That s the ultimate Sweet,,neutral
284,2020 Autumn and Winter New Loose Long Sleeved Printed Hooded Sweater Ladies Tops newyear gift,,neutral
285,Shirtless Noah is back throwing again Kinda making me reconsider our decision not to go PB this winter Noahsyndergaard mets LFGM,,neutral
286,RT AgsafeOz Join 2 passionate AGvocates for an online presentation on 24 Nov at 2pm CropLifeOZ CEO Matthew Cossey and AuNutrien MD c,passionate,positive
287,I want this,,neutral
288,RT josstheboss The Chinese Flu is looking very American,,neutral
289,RT SpencerFernando Many politicians are now terrified of being the one attacked for not doing enough and will follow most draconia,enough,positive
290,RT josstheboss The Chinese Flu is looking very American,,neutral
291,RT josstheboss The Chinese Flu is looking very American,,neutral
292,RT aespa official Get ready is coming Click the link to follow amp stay tuned for more Spotify Melon ht,ready,positive
293,The Quiet Storm Monday Thursday 10P M ET quietstorm slowmusic mysoulradio com,,neutral
294,RT FayThompsonAuth This is bad Wisconsin out of beds,bad,negative
295,How was your birthday maddyeisenberg Hope you were spoiled,spoiled,negative
296,RT PmJustnot Global Edmonton just reported that there have been zero cases of the flu in this season Anyone want to hazard a gues,hazard,negative
297,RT ToriThaiga Tori is hamfriend as she likes ham plus has an abnormally high body temperature so her hugs are super warm htt,"super, warm, likes",positive
298,DC Draino The minority in this country has been turned into an instrument of control over the majority Such tra,,neutral
299,RT immharvic Twitter header People who are affected with UlyssesPH badly needs our help If you guys can spare even a small amount,badly,negative
300,RT FouldsIain Three years ago there was a flu outbreak in Alberta and were three times as many people ICU We are bei,outbreak,negative
301,RT AFightForTruth Yes the corona is spreading just like flu used to spread for hundred of years Now there no because it,like,positive
302,RT Jasmine blu Rice cooker and kewpie mayo enamel pins will be releasing with the winter collection 11 27 at 2PM PST I was so happy to,happy,positive
303,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals,"frightening, radical",negative
304,RT winterjpg I really love Winter s voice Her is so cute and adorable can listen to it nonstop WINTER aespa offi,"love, cute, adorable",positive
305,katecallen TorontoStar bruce arthur But in the vast majority of people it s at worst flu and least,worst,negative
306,RT Aejlex Adding to what we can accomplish rebuild roads amp bridges secure improve the social safety net transition carbon free en,"improve, free, secure, accomplish",positive
307,RT VeritasVital If you are reading this on ship There is no dock in site so best man the ropes and steer her through t,best,positive
308,AUSPATRIOTxxx What about the damage they re doing to their health That can t stop now Facial staph this Sum,damage,negative
